date,action,price,shares,gross_amount,commission,stamp_tax,net_amount,pnl,return_pct,cash_after
2021-10-12,BUY,6.39,33300,212787.0,63.84,0.0,-212850.84,,,534.95
2021-10-19,SELL,6.22,33300,207126.0,62.14,207.13,206856.74,-5994.1,-2.82,207391.69
2021-11-24,BUY,4.89,42300,206847.0,62.05,0.0,-206909.05,,,482.64
2021-12-01,SELL,4.76,42300,201348.0,60.4,201.35,201086.25,-5822.81,-2.81,201568.88
2021-12-08,BUY,4.82,41800,201476.0,60.44,0.0,-201536.44,,,32.44
2021-12-27,SELL,4.89,41800,204402.0,61.32,204.4,204136.28,2599.83,1.29,204168.72
2022-01-07,BUY,4.83,42200,203826.0,61.15,0.0,-203887.15,,,281.57
2022-01-13,SELL,4.81,42200,202982.0,60.89,202.98,202718.12,-1169.02,-0.57,202999.69
2022-02-14,BUY,4.35,46600,202710.0,60.81,0.0,-202770.81,,,228.88
2022-02-18,SELL,4.21,46600,196186.0,58.86,196.19,195930.96,-6839.85,-3.37,196159.84
2022-02-23,BUY,4.48,43700,195776.0,58.73,0.0,-195834.73,,,325.11
2022-03-02,SELL,4.44,43700,194028.0,58.21,194.03,193775.76,-2058.97,-1.05,194100.87
2022-03-07,BUY,4.66,41600,193856.0,58.16,0.0,-193914.16,,,186.71
2022-03-11,SELL,4.34,41600,180544.0,54.16,180.54,180309.29,-13604.86,-7.02,180496.01
2022-03-23,BUY,4.5,40000,180000.0,54.0,0.0,-180054.0,,,442.01
2022-04-01,SELL,4.3,40000,172000.0,51.6,172.0,171776.4,-8277.6,-4.6,172218.41
2022-04-18,BUY,4.44,38700,171828.0,51.55,0.0,-171879.55,,,338.86
2022-04-26,SELL,3.74,38700,144738.0,43.42,144.74,144549.84,-27329.71,-15.9,144888.7
2022-05-12,BUY,3.88,37300,144724.0,43.42,0.0,-144767.42,,,121.28
2022-06-29,SELL,6.2,37300,231260.0,69.38,231.26,230959.36,86191.94,59.54,231080.64
2022-07-20,BUY,5.5,42000,231000.0,69.3,0.0,-231069.3,,,11.34
2022-07-25,SELL,5.4,42000,226800.0,68.04,226.8,226505.16,-4564.14,-1.98,226516.5
2022-08-02,BUY,5.38,42000,225960.0,67.79,0.0,-226027.79,,,488.71
2022-08-03,SELL,5.11,42000,214620.0,64.39,214.62,214340.99,-11686.79,-5.17,214829.71
2022-08-11,BUY,5.92,36200,214304.0,64.29,0.0,-214368.29,,,461.42
2022-08-24,SELL,6.11,36200,221182.0,66.35,221.18,220894.46,6526.17,3.04,221355.88
2022-08-25,BUY,6.2,35600,220720.0,66.22,0.0,-220786.22,,,569.66
