trade_date,code,name,source_file,source_trade_date,snapshot_mode,snapshot_quality,paused,open_price,prev_close,latest_price,close_price,high_price,low_price,high_limit,low_limit,limit_pct,volume,amount,turnover_amount,turnover_rate,ma10,ma20,price_above_ma10,price_above_ma20,ma10_above_ma20,open_price_source,prev_close_source,latest_price_source
2026-03-20,sz.001325,,C:\quant_system\stock_data_5years\sz.001325.csv,2026-03-16,PAUSED_FALLBACK,REPLAY_PROXY,True,55.95,56.0,56.2,56.2,56.68,55.2,61.6,50.4,0.1,1711531.0,95620492.5,95620492.5,,53.855,52.8365,True,True,True,open,preclose,close
2026-03-20,sz.001326,,C:\quant_system\stock_data_5years\sz.001326.csv,2026-03-16,PAUSED_FALLBACK,REPLAY_PROXY,True,64.05,63.63,63.15,63.15,64.05,61.78,69.99,57.27,0.1,894103.0,55903621.92,55903621.92,,62.818000000000005,62.51550000000001,True,True,True,open,preclose,close
2026-03-20,sz.001338,,C:\quant_system\stock_data_5years\sz.001338.csv,2026-03-16,PAUSED_FALLBACK,REPLAY_PROXY,True,13.96,13.76,13.69,13.69,14.37,13.58,15.14,12.38,0.1,27395148.0,379899446.5,379899446.5,,13.093,12.857,True,True,True,open,preclose,close
2026-03-20,sz.001339,,C:\quant_system\stock_data_5years\sz.001339.csv,2026-03-16,PAUSED_FALLBACK,REPLAY_PROXY,True,71.94,73.24,71.56,71.56,73.24,67.39,80.56,65.92,0.1,11949831.0,829160361.71,829160361.71,,70.59400000000001,63.493500000000004,True,True,True,open,preclose,close
2026-03-20,sz.001369,,C:\quant_system\stock_data_5years\sz.001369.csv,2026-03-16,PAUSED_FALLBACK,REPLAY_PROXY,True,18.1,18.28,17.44,17.44,18.1,17.18,20.11,16.45,0.1,50511232.0,885691501.89,885691501.89,,15.977,15.498,True,True,True,open,preclose,close
2026-03-20,sz.001382,,C:\quant_system\stock_data_5years\sz.001382.csv,2026-03-16,PAUSED_FALLBACK,REPLAY_PROXY,True,22.44,22.33,22.87,22.87,23.07,22.27,24.56,20.1,0.1,11721756.0,265212982.43,265212982.43,,21.996,21.433500000000002,True,True,True,open,preclose,close
2026-03-20,sz.001389,,C:\quant_system\stock_data_5years\sz.001389.csv,2026-03-16,PAUSED_FALLBACK,REPLAY_PROXY,True,118.95,119.57,117.0,117.0,118.95,114.36,131.53,107.61,0.1,7598774.0,882202128.05,882202128.05,,113.94200000000001,110.248,True,True,True,open,preclose,close
2026-03-20,sz.001400,,C:\quant_system\stock_data_5years\sz.001400.csv,2026-03-16,PAUSED_FALLBACK,REPLAY_PROXY,True,137.1,134.41,132.02,132.02,137.73,125.0,147.85,120.97,0.1,1885269.0,244972467.5,244972467.5,,131.233,121.953,True,True,True,open,preclose,close
2026-03-20,sz.001872,,C:\quant_system\stock_data_5years\sz.001872.csv,2026-03-16,PAUSED_FALLBACK,REPLAY_PROXY,True,22.33,22.24,22.81,22.81,23.3,22.26,24.46,20.02,0.1,7102002.0,162544319.34,162544319.34,,21.689,20.8735,True,True,True,open,preclose,close
2026-03-20,sz.001965,,C:\quant_system\stock_data_5years\sz.001965.csv,2026-03-16,PAUSED_FALLBACK,REPLAY_PROXY,True,10.12,10.1,10.25,10.25,10.3,10.12,11.11,9.09,0.1,19248029.0,197377841.46,197377841.46,,9.931000000000001,9.812999999999999,True,True,True,open,preclose,close
2026-03-20,sz.002001,,C:\quant_system\stock_data_5years\sz.002001.csv,2026-03-16,PAUSED_FALLBACK,REPLAY_PROXY,True,38.88,38.67,37.3,37.3,39.94,36.66,42.54,34.8,0.1,84610895.0,3204551180.29,3204551180.29,,36.352,33.406499999999994,True,True,True,open,preclose,close
2026-03-20,sz.002011,,C:\quant_system\stock_data_5years\sz.002011.csv,2026-03-16,PAUSED_FALLBACK,REPLAY_PROXY,True,13.3,13.33,13.25,13.25,13.42,13.06,14.66,12.0,0.1,21773594.0,288036645.77,288036645.77,,13.199000000000002,13.0965,True,True,True,open,preclose,close
2026-03-20,sz.002015,,C:\quant_system\stock_data_5years\sz.002015.csv,2026-03-16,PAUSED_FALLBACK,REPLAY_PROXY,True,22.24,22.28,21.36,21.36,22.64,20.1,24.51,20.05,0.1,342826265.0,7291996746.18,7291996746.18,,17.798,15.357000000000003,True,True,True,open,preclose,close
