file_name,code,start_date,end_date,initial_cash,final_equity,total_return_pct,trade_count,win_rate_pct,avg_pnl,avg_return_pct,max_drawdown_pct
sz.301556.csv,sz.301556,2024-10-17,2026-03-16,100000.0,129656.02,29.66,18,50.0,1647.56,1.91,-34.23
sh.600498.csv,sh.600498,2020-01-02,2026-03-16,100000.0,129610.8,29.61,83,25.3,356.76,0.9,-74.94
sh.688435.csv,sh.688435,2023-01-19,2026-03-16,100000.0,129542.22,29.54,42,30.95,704.88,1.45,-40.06
sz.002891.csv,sz.002891,2020-01-02,2026-03-16,100000.0,129304.36,29.3,81,35.8,361.78,0.93,-62.43
sz.000722.csv,sz.000722,2020-01-02,2026-03-16,100000.0,129286.8,29.29,84,40.48,318.25,0.68,-58.93
sh.688429.csv,sh.688429,2023-06-29,2026-03-16,100000.0,129176.51,29.18,33,42.42,1031.22,1.52,-33.83
sh.688608.csv,sh.688608,2020-12-16,2026-03-16,100000.0,129161.89,29.16,61,39.34,478.06,0.79,-52.5
sh.603201.csv,sh.603201,2022-07-29,2026-03-16,100000.0,128979.24,28.98,45,53.33,643.28,0.75,-21.92
sz.002171.csv,sz.002171,2020-01-02,2026-03-16,100000.0,128910.15,28.91,74,36.49,390.68,0.68,-57.03
sz.300459.csv,sz.300459,2021-02-18,2026-03-16,100000.0,128874.05,28.87,74,35.14,390.71,0.87,-49.28
sh.600312.csv,sh.600312,2020-01-02,2026-03-16,100000.0,128861.99,28.86,80,35.0,369.09,0.6,-45.14
sz.002144.csv,sz.002144,2020-01-02,2026-03-16,100000.0,128844.76,28.84,85,41.18,339.35,0.46,-44.48
sh.603219.csv,sh.603219,2021-11-22,2026-03-16,100000.0,128833.62,28.83,54,44.44,411.61,0.65,-47.67
sz.301580.csv,sz.301580,2024-06-26,2026-03-16,100000.0,128812.77,28.81,26,50.0,1507.33,2.26,-48.27
sz.002474.csv,sz.002474,2020-01-02,2026-03-16,100000.0,128777.81,28.78,82,31.71,402.8,0.7,-59.78
sz.300556.csv,sz.300556,2021-02-18,2026-03-16,100000.0,128760.44,28.76,66,43.94,425.34,0.8,-51.51
sz.300769.csv,sz.300769,2021-02-18,2026-03-16,100000.0,128659.68,28.66,55,36.36,409.8,1.26,-71.54
sz.399234.csv,sz.399234,2021-02-18,2026-03-10,100000.0,128651.34,28.65,63,42.86,269.57,0.37,-31.03
sz.301195.csv,sz.301195,2022-08-01,2026-03-16,100000.0,128642.05,28.64,45,33.33,634.87,0.88,-39.9
sz.301217.csv,sz.301217,2022-01-27,2026-03-16,100000.0,128617.99,28.62,55,32.73,520.33,1.65,-52.02
sz.001337.csv,sz.001337,2023-03-03,2026-03-16,100000.0,128604.44,28.6,39,30.77,540.31,1.21,-55.19
sz.301595.csv,sz.301595,2025-05-19,2026-03-16,100000.0,128390.05,28.39,10,40.0,2344.55,2.68,-20.37
sz.301230.csv,sz.301230,2022-11-01,2026-03-16,100000.0,128379.83,28.38,46,41.3,605.26,1.14,-53.91
